raw_name	query_name	is_control	cid	title	isomeric_smiles	canonical_smiles	inchikey	status	error	source	retrieved_utc
(1R, 2S, 5R) - (-) - Menthol	Amiodarone hydrochloride	False	441325	Amiodarone Hydrochloride	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl	ITPDYQOUSLNIHG-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:17.212520+00:00
(S)-(+)-Camptothecin	Amphotericin B	False	5280965	Amphotericin B	C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O	CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O	APKFDSVGJQXUKY-INPOYWNPSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:17.390499+00:00
1-10 Phenanthroline monohydrate	Anisomycin	False	253602	Anisomycin	CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O	CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O	YKJYKKNCCRKFSL-RDBSUJKOSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:17.451682+00:00
4-Hydroxytamoxifen	Artemisinin	False	68827	Artemisinin	C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C	CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C	BLUAFEHZUWYNDE-NNWCWBAJSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:19.768061+00:00
Abietic acid	Brefeldin A	False	5287620	Brefeldin A	C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O	CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O	KQNZDYYTLMIZCT-KQPMLPITSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:19.827804+00:00
Amiodarone hydrochloride	Cycloheximide	False	6197	Cycloheximide	C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C	CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C	YPHMISFOHDHNIV-FSZOTQKASA-N	resolved		PubChem PUG REST	2026-08-09T15:09:20.204170+00:00
Amphotericin B	Cisplatin	False	5702198	azane;dichloroplatinum	N.N.Cl[Pt]Cl	N.N.Cl[Pt]Cl	LXZZYRPGZAFOLE-UHFFFAOYSA-L	resolved		PubChem PUG REST	2026-08-09T15:09:20.571566+00:00
Anisomycin	Clomiphene citrate	False	60974	Clostilbegit	CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	PYTMYKVIJXPNBD-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:20.798829+00:00
Artemisinin	Clotrimazole	False	2812	Clotrimazole	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4	VNFPBHJOKIVQEB-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:20.853052+00:00
Brefeldin A	Cyclopiazonic acid	False	54682463	Cyclopiazonic Acid	CC(=O)C1=C([C@@H]2[C@@H]3[C@@H](CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O	CC(=O)C1=C(C2C3C(CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O	SZINUGQCTHLQAZ-DQYPLSBCSA-N	resolved		PubChem PUG REST; ChEMBL CHEMBL480627 cross-check	2026-08-13T13:10:00+00:00
