raw_name	canonical_id	canonical_name	query_name	role	is_control	is_quality_control	mapping_status	evidence_tier	pubchem_cid	inchikey	isomeric_smiles	canonical_smiles	formulation_class	proxy_target	source_url	source_version	retrieved_utc	notes	identity_review_outcome	secondary_source	secondary_id	secondary_name	secondary_inchikey	secondary_source_url	secondary_review_notes	evidence_snapshot_path	evidence_snapshot_sha256	source_snapshot_sha256
(1R, 2S, 5R) - (-) - Menthol	pubchem:16666	(-)-Menthol	L-menthol	train	False	False	high_confidence_candidate	C_database_lookup	16666	NOOLISFMXDJSKH-KXUCPTDWSA-N	C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C	CC1CCC(C(C1)O)C(C)C	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/16666	PubChem PUG REST	2026-08-09T15:09:17.037032+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
(S)-(+)-Camptothecin	pubchem:24360	Camptothecin	(S)-(+)-Camptothecin	test	False	False	verified	A_verified	24360	VSJKWCGYPAHWDS-FQEVSTJZSA-N	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/24360	PubChem PUG REST	2026-08-09T15:09:17.039969+00:00		exact_name_and_inchikey_match	ChEBI	CHEBI:27656	camptothecin	VSJKWCGYPAHWDS-FQEVSTJZSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:27656/	Three-star ChEBI record independently matches the PubChem InChIKey and compound identity.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_s_camptothecin.json	f874cccd875ee454ff708d36750f2eb7e67b54aa048ba722041e39155ead1590	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
1-10 Phenanthroline monohydrate	pubchem:21226	1,10-Phenanthroline hydrate	1,10-Phenanthroline monohydrate	train	False	False	high_confidence_candidate	C_database_lookup	21226	PPQJCISYYXZCAE-UHFFFAOYSA-N	C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O	C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/21226	PubChem PUG REST	2026-08-09T15:09:17.040980+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
4-Hydroxytamoxifen	pubchem:449459	4-Hydroxytamoxifen	4-Hydroxytamoxifen	train	False	False	high_confidence_candidate	C_database_lookup	449459	TXUZVZSFRXZGTL-QPLCGJKRSA-N	CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3	CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/449459	PubChem PUG REST	2026-08-09T15:09:17.042435+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Abietic acid	pubchem:10569	Abietic Acid	Abietic acid	test	False	False	verified	A_verified	10569	RSWGJHLUYNHPMX-ONCXSQPRSA-N	CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C	CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/10569	PubChem PUG REST	2026-08-09T15:09:17.046105+00:00		exact_name_and_inchikey_match	ChEBI	CHEBI:28987	abietic acid	RSWGJHLUYNHPMX-ONCXSQPRSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:28987/	Three-star ChEBI record independently matches the PubChem InChIKey and compound identity.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_abietic_acid.json	d75ef7a06e321756d5243ebbeab7595f36a6937b078cec39d8758ae0d148574c	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Amiodarone hydrochloride	pubchem:441325	Amiodarone Hydrochloride	Amiodarone hydrochloride	train	False	False	high_confidence_candidate	C_database_lookup	441325	ITPDYQOUSLNIHG-UHFFFAOYSA-N	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/441325	PubChem PUG REST	2026-08-09T15:09:17.212520+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Amphotericin B	pubchem:5280965	Amphotericin B	Amphotericin B	val	False	False	high_confidence_candidate	C_database_lookup	5280965	APKFDSVGJQXUKY-INPOYWNPSA-N	C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O	CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/5280965	PubChem PUG REST	2026-08-09T15:09:17.390499+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Anisomycin	pubchem:253602	Anisomycin	Anisomycin	train	False	False	high_confidence_candidate	C_database_lookup	253602	YKJYKKNCCRKFSL-RDBSUJKOSA-N	CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O	CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/253602	PubChem PUG REST	2026-08-09T15:09:17.451682+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Artemisinin	pubchem:68827	Artemisinin	Artemisinin	train	False	False	high_confidence_candidate	C_database_lookup	68827	BLUAFEHZUWYNDE-NNWCWBAJSA-N	C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C	CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/68827	PubChem PUG REST	2026-08-09T15:09:19.768061+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Brefeldin A	pubchem:5287620	Brefeldin A	Brefeldin A	train	False	False	high_confidence_candidate	C_database_lookup	5287620	KQNZDYYTLMIZCT-KQPMLPITSA-N	C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O	CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/5287620	PubChem PUG REST	2026-08-09T15:09:19.827804+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
