raw_name	promotion_status	review_outcome	secondary_source	secondary_id	secondary_name	secondary_inchikey	selected_evidence_path	secondary_source_url	notes
(S)-(+)-Camptothecin	verified	exact_name_and_inchikey_match	ChEBI	CHEBI:27656	camptothecin	VSJKWCGYPAHWDS-FQEVSTJZSA-N	resources/entities/evidence/chemical_second_source_20260813/chebi_search_s_camptothecin.json	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:27656/	Three-star ChEBI record independently matches the PubChem InChIKey and compound identity.
Abietic acid	verified	exact_name_and_inchikey_match	ChEBI	CHEBI:28987	abietic acid	RSWGJHLUYNHPMX-ONCXSQPRSA-N	resources/entities/evidence/chemical_second_source_20260813/chebi_search_abietic_acid.json	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:28987/	Three-star ChEBI record independently matches the PubChem InChIKey and compound identity.
Doxycycline hyclate	high_confidence_candidate	formulation_representation_conflict	ChEBI	CHEBI:34730	doxycycline hyclate	HALQELOKLVRWRI-VDBOFHIQSA-N	resources/entities/evidence/chemical_second_source_20260813/chebi_search_doxycycline_hyclate.json	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:34730/	ChEBI and ChEMBL represent hyclate as two doxycycline molecules plus ethanol water and two chlorides; selected PubChem CID 54705095 uses a one-molecule formula unit. Components agree but exact InChIKey does not, so promotion remains blocked.
Fluconazole	verified	exact_name_and_inchikey_match	ChEBI	CHEBI:46081	fluconazole	RFHAOTPXVQNOHP-UHFFFAOYSA-N	resources/entities/evidence/chemical_second_source_20260813/chebi_search_fluconazole.json	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:46081/	Three-star ChEBI record independently matches the PubChem InChIKey and compound identity.
G418	high_confidence_candidate	stereochemistry_conflict	ChEBI	CHEBI:42768	geneticin	BRZYSWJRSDMWLG-CAXSIQPQSA-N	resources/entities/evidence/chemical_second_source_20260813/chebi_search_g418.json	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:42768/	ChEMBL CHEMBL215226 matches the selected PubChem InChIKey BRZYSWJRSDMWLG-DJWUNRQOSA-N, but three-star ChEBI geneticin has a different stereochemical InChIKey. Keep candidate until the supplied reagent identity is confirmed.
H2O2	verified	exact_name_and_inchikey_match	ChEBI	CHEBI:16240	hydrogen peroxide	MHAJPDPJQMAIIY-UHFFFAOYSA-N	resources/entities/evidence/chemical_second_source_20260813/chebi_search_hydrogen_peroxide.json	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:16240/	Three-star ChEBI record independently matches the PubChem InChIKey and compound identity.
Hygromycin B	high_confidence_candidate	stereochemistry_conflict	ChEBI	CHEBI:16976	hygromycin B	GRRNUXAQVGOGFE-NZSRVPFOSA-N	resources/entities/evidence/chemical_second_source_20260813/chebi_search_hygromycin_b.json	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:16976/	The selected PubChem key GRRNUXAQVGOGFE-HUCHGKBZSA-N appears in ChEMBL CHEMBL5308478 without an identifying synonym; three-star ChEBI hygromycin B has a different stereochemical key. Promotion remains blocked.
MMS	verified	exact_name_and_inchikey_match	ChEBI	CHEBI:25255	methyl methanesulfonate	MBABOKRGFJTBAE-UHFFFAOYSA-N	resources/entities/evidence/chemical_second_source_20260813/chebi_search_methyl_methanesulfonate.json	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:25255/	Three-star ChEBI record independently matches the PubChem InChIKey and expanded MMS identity.
Neomycin B	verified	exact_alias_and_inchikey_match	ChEBI	CHEBI:7508	framycetin	PGBHMTALBVVCIT-VCIWKGPPSA-N	resources/entities/evidence/chemical_second_source_20260813/chebi_search_neomycin_b.json	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:7508/	ChEBI InChIKey matches PubChem; ChEMBL CHEMBL184618 independently lists Neomycin B as USP and Merck Index synonyms of framycetin.
Plumbagin	verified	exact_name_and_inchikey_match	ChEBI	CHEBI:8273	plumbagin	VCMMXZQDRFWYSE-UHFFFAOYSA-N	resources/entities/evidence/chemical_second_source_20260813/chebi_search_plumbagin.json	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:8273/	Three-star ChEBI record independently matches the PubChem InChIKey and compound identity.
